time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
255.9,USER_8,NewMedia17,-0.793078303590417,-0.8050186511820092,-0.8236693263649335,-0.8838722584483619,-0.7254452529658066,-0.931617669210343,-0.9046774116026678,-0.7744551775774786,-0.7881625728367598,0.07377922819073257,-0.6663064364842448,-0.40589435712254496,0.31530648968042496,0.4930130403419324
256.9,USER_8,NewMedia17,-0.9763586810316952,-0.9481552482911701,-0.9100053712736924,-0.939294926004738,-0.8375335295587185,-0.9235167334560377,-0.9387466306188998,-0.9814569901825743,-0.9793437161049215,-0.06334227648514912,-0.5083327420157072,-0.6652589353213765,0.49719822643945366,0.5868328618542182
258.0,USER_8,NewMedia17,-0.9743333705687367,-0.9715313038120595,-0.812562911204518,-0.8568638255269612,-0.8610946288699917,-0.7908945958419934,-0.9423672270648757,-0.9897429952009693,-0.9710502433204179,-0.3270841604806869,-0.4680398223376324,-0.47934131708481986,-0.07341455012164999,0.05810008019288149
258.9,USER_8,NewMedia17,-0.8279963282465155,-0.9889381165838648,-0.9665500908109841,-0.9595725507217518,-0.9640815014852082,-0.9599556016690588,-0.9833215147324718,-0.9580040442779413,-0.868840877059378,-0.2631501813171917,-0.5387816100208342,-0.6105368442608567,0.13508034360623378,0.33876041573845206
259.9,USER_8,NewMedia17,-0.9992103147277456,-0.982405343924902,-0.9591022594681172,-0.9546735447502044,-0.767080971444052,-0.9004720260640554,-0.9110282938931501,-0.9819487643852675,-0.9962712131651233,-0.30017695421693247,-0.5114448734232032,1.0,0.20247019235963348,0.48531356269484394
260.9,USER_8,NewMedia17,-0.9589679532536586,-0.8498505862345723,-0.34955606272296313,-0.9043628834250083,-0.8221252371908456,-0.9114113578686381,-0.9008193989963,-0.8428742392696431,-0.922506896193967,0.20606256829396563,-0.5075880059589408,-0.2683591450014289,0.11129786818551834,0.35930549135450573
262.0,USER_8,NewMedia17,-0.9069425584760383,-0.7431764614423704,-0.7618653925899157,-0.08814588851327498,-0.4840657643742545,-0.1487573531811195,-0.7028736752695859,-0.7129443725421956,-0.8021496633641105,0.290999284886742,-0.6177353494356961,-0.4700252742796075,-0.4131125356543378,-0.27656934266417665
262.9,USER_8,NewMedia17,-0.8754749939389436,-0.6802072118829743,-0.9415933226269917,-0.9043628834250083,-0.6625045578524491,-0.6413801660584602,-0.9700855637906255,-0.9361200922580915,-0.8658860708863072,0.24424503142057863,-0.6614379160883819,0.5356510112045758,-0.29131246035209635,-0.21640355730957062
263.9,USER_8,NewMedia17,-0.8402977667052463,-0.7117857583143188,-0.9557050030661077,-0.8886008642122034,-0.722496910832187,-0.6017960481681045,-0.8706675466265337,-0.8539313528905159,-0.8232184969514817,0.04673340203727472,-0.6926128034181983,0.27179867262553503,0.12285612428273462,-0.14222255607639145
264.9,USER_8,NewMedia17,-0.5876393574096789,-0.4945971567514831,-0.3943083826340489,-0.8026765594764536,-0.5971026380014615,-0.14116272591145818,1.0,-0.4992645785021145,-0.4848946300988939,0.17207048530650493,-0.6256329432539416,-0.7051086340785089,0.3142812950325229,0.5395760735373396
265.9,USER_8,NewMedia17,-0.9429196904384545,-0.7799311344533404,-0.8095576459258174,-0.6436931656867568,-0.7319059679020861,-0.7401870339708208,-0.8078116181627885,-0.8776067680773197,-0.9081014961182358,0.18007739671087464,-0.6177675756698965,0.36575973069156276,0.5739427126157621,0.7078757184519766
266.9,USER_8,NewMedia17,-0.8625102198515189,-0.9506806971465519,-0.9436512760243627,-0.9879441853048005,-1.0,-0.9996317756475316,-0.9971510060752977,-0.9720000942053857,-0.8998634619485777,0.16347605214486527,-0.642357428392516,1.0,0.864398121840017,0.8791463607241792
267.9,USER_8,NewMedia17,-0.9286951360814099,-0.9229425026936393,-0.8846892778933336,-0.9621285538373419,-0.9759005077773703,-0.9420046644862231,-0.9664056133045517,-0.9392619829975206,-0.9386690523764948,0.1524254822314921,-0.6708144563448893,-0.6657284928992588,0.5348032925007691,0.6747690961681809
269.0,USER_8,NewMedia17,-0.5693576788362399,1.0,0.5279160668037426,-0.3829382478446526,-0.17246445748718875,-0.32771438848077383,0.129507383064279,-0.35541672124447543,-0.3551142727093026,0.08123628804198835,-0.6558817275847877,0.6501625628362904,0.4934827591264668,0.6968687717544211
269.9,USER_8,NewMedia17,-0.9955526783549623,-0.9937594280350482,-0.9246397065438869,-0.8668322376777621,-0.8484808520896365,-0.6681378023378324,-0.7850790208052678,-0.9899264347845136,-0.9829112269693382,0.07650489487556844,-0.6541147912205908,0.21105563458363474,0.6164236402662162,0.9022027342448575
270.9,USER_8,NewMedia17,-0.8975852525205714,-0.9674822370521913,-0.9219937664615526,-0.9117326924082927,-0.8978335356306602,-0.7896518386524125,-0.9572057370893671,-0.9567433850123069,-0.9098380927287247,-0.16196694511770038,-0.6490486601099749,0.13283067416966698,0.44208169594210633,0.8258115104594697
271.9,USER_8,NewMedia17,-0.6385638380136267,-0.8420029104525595,-0.8722108938013375,-0.5196418144767899,-0.03486661199904639,-0.11445111767614458,-0.32098978127927735,-0.7722812233639854,-0.5993861694852787,-0.1724891660819622,-0.6111857274281023,-0.1633374177830853,0.32833260710131595,0.7314267394660616
272.9,USER_8,NewMedia17,-0.9965978500388285,-0.9570256265022219,-0.937934738809443,-0.8466824131165278,-0.7013970362585442,-0.8806185963934662,-0.8193856559818917,-0.9858400253383244,-0.9879093420895764,-0.041436557660687434,-0.6338032036909483,-0.23869766192574504,0.3835943176978289,0.6540806179561989
273.9,USER_8,NewMedia17,-0.49834732107212587,-0.6402800741941693,0.6216346112014837,-0.6193685360367256,-0.3602097570045478,-0.17510073706396467,-0.26282282198327145,-0.8158773967297286,-0.4718427962038091,0.09383474124558333,-0.6355618983637017,1.0,0.2364164198673806,0.48563038529461444
274.9,USER_8,NewMedia17,-0.9111464712489223,-0.20915882165890742,-0.5654125079583316,0.04399947256272707,0.26730000006043664,-0.3853414996420822,-0.4094273010252456,-0.9001073893354673,-0.8013908023245353,0.07290282321269603,-0.604448993255328,-0.3961932361834185,0.0720982038292135,0.5716796537460767
276.0,USER_8,NewMedia17,-0.9962698983904686,-0.896206139191622,-0.9669094160073505,-0.8805068543461685,-0.8822714167166854,-0.8587552754656534,-0.9123934368154033,-0.9960853212277672,-0.9938391139320256,0.3177669649604924,-0.5291283876379739,-0.5660317561372145,0.28019991373543585,0.3701780879119021
