alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9924659107062799,-0.9883886472578138,-0.9308212838232519,-0.9752517725692093,-0.8745785866954586,-0.8884308167997939,-0.9982556652979467,-0.9982556652979467
-0.9918754305584412,-0.9853584629651398,-0.9481653890741124,-0.8634933538063195,-0.8411299385232356,-0.8977926651206733,-0.999169268177817,-0.999169268177817
-0.9329750358115275,-0.8829134177082925,-0.7257294858775848,-0.44301434614400337,-0.6174338408655223,-0.5481405136133299,-0.702713218641137,-0.702713218641137
-0.9963587057549945,-0.99160821806878,-0.9806968196482652,-0.9337939755227386,-0.9282991428508472,-0.7773769646998197,-0.9959797430795088,-0.9959797430795088
-0.9896775322303747,-0.9980800125386936,-0.9921636995965024,-0.9553809330262385,-0.9776127624881563,-0.9768959890062698,-0.9285611057828839,-0.9285611057828839
-0.9918644957408885,-0.9964147172916422,-0.9865380986187622,-0.9424949946559484,-0.9331027036555538,-0.8432534570127974,-0.9970388756216593,-0.9970388756216593
-0.9645657237208998,-0.9985698052584147,-0.9794746443559765,-0.9253639223832965,-0.9453980565409955,-0.8580262818861119,-0.9951853936728958,-0.9951853936728958
-0.9824988245071131,-0.976365868631062,-0.9481653890741124,-0.8854415993015099,-0.8958200207126017,-0.943828910074723,-0.979187237048618,-0.979187237048618
-0.986954762659785,-0.9360265402348393,-0.7219730941704036,-0.9090758554245887,-0.8732565057400348,-0.9327492914197372,-0.8603946077217635,-0.8603946077217635
-0.9535981017156728,-0.9020675783341823,-0.9706138734868841,-0.9037468575471557,-0.8540863318863892,-0.9214120072146355,-0.9817623035728543,-0.9817623035728543
-0.8829373106909711,-0.9102177291903399,-0.8472280884639234,-0.6762859594454229,-0.5331291452746623,-0.8332045005582753,-0.9009367461386635,-0.9009367461386635
-0.8424074094323737,-0.8092159398142706,-0.9177907384275277,-0.6986557075975854,-0.4184165877090541,-0.3680322940822812,-0.629495628551707,-0.629495628551707
-0.9944724497271763,-0.9786058540025862,-0.9623102707657467,-0.8942630477652832,-0.8075931516206509,-0.9118783818603453,-0.9861423421584272,-0.9861423421584272
-0.9938054258564696,-0.9938090200227264,-0.9873289179255371,-0.9197639585120956,-0.8387501928034726,-0.8012539723438976,-0.995195499899443,-0.995195499899443
-0.9962384227619162,-0.9861943758734637,-0.9522093514383027,-0.9547486790407804,-0.9256109115748188,-0.9494975521772739,-0.9916785330610042,-0.9916785330610042
-0.8808706301735355,-0.8848856497263691,-0.6961276813717121,-0.6884192144996915,-0.5455567062556463,-0.6828137078072662,-0.8665917458405298,-0.8665917458405298
-0.9912466785491684,-0.9762809712263104,-0.9215111838025828,-0.9635400201719129,-0.9592799065729458,-0.8614618225543245,-0.9823969746000208,-0.9823969746000208
-0.8806464664137079,-0.9609733160926296,-0.8761828589915257,-0.8951060530792274,-0.8472996496485468,-0.8095851584643133,-0.899259112531822,-0.899259112531822
-0.984417884987589,-0.992842495722477,-0.9252675755097639,-0.8878200785801382,-0.9487032589295551,-0.8898909215837842,-0.9789123476865331,-0.9789123476865331
-0.9951121365540015,-0.997342058174314,-0.9370220261150103,-0.9551099670324708,-0.9538153052905273,-0.8837069483810015,-0.9934107402912008,-0.9934107402912008
-0.9621436616330057,-0.9919412771181902,-0.9723033510968124,-0.9732947959475531,-0.9966507282462597,-0.9939878038306278,-0.9875652988562783,-0.9875652988562783
-0.9983215055056807,-0.9994775544322976,-0.941191800641642,-0.8962501317195803,-0.8982879051627262,-0.770419994846689,-0.9943021094726672,-0.9943021094726672
-0.8505811855529191,-0.9615610673562949,-0.9060003414901552,-0.5131343238645771,-0.5330850759094815,-0.5775143863265482,-0.9583057517567148,-0.9583057517567148
-0.9780592885807701,-0.9959641079894989,-0.9075819801037052,-0.9112435833747309,-0.8560253839543441,-0.8546766297346045,-0.9916178957017208,-0.9916178957017208
-0.9487977168100951,-0.9746417982576441,-0.9691221007036495,-0.6984449562690993,-0.9148579864707049,-0.8555355149016577,-0.97266669968034,-0.97266669968034
