obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
91, 95.0, 351264, 53649, 14086, 7849, 15387, 34636, 4397, 4613, 30, 24, NA, 485881,  1*
92, 96.0, 396474, 87345, 16839, 36322, 30747, 20784, 8482, 14130, 43, 34, NA, 611123,  1*
93, 97.0, 75193, 15733, 5585, 1332, 3048, 4538, 1439, 1535, 43, 47, NA, 108403,  1*
94, 98.0, 22177, 12996, 6645, 5376, 2210, 4772, 1224, 1096, 48, 50, NA, 56496,  1*
95, 99.0, 44801, 18910, 32598, 24672, 8459, 11195, 4643, 3422, 37, 74, NA, 148700,  1*
96, 100.0, 404621, 154449, 58480, 20174, 7151, 12712, 12721, 7132, 26, 77, NA, 677440,  1*
97, 101.0, 735751, 139234, 8007, 21527, 26521, 12747, 30996, 6058, 17, 69, NA, 980841,  1*
98, 102.0, 134596, 31048, 10424, 3544, 2592, 3523, 5815, 2202, 10, 64, NA, 193744,  1*
99, 103.0, 130884, 45521, 3937, 5543, 4683, 3690, 1230, 1534, 3, 40, NA, 197022,  1*
100, 104.0, 107306, 30556, 15495, 3588, 3814, 8429, 2520, 2787, 14, 40, NA, 174495,  1*
101, 105.0, 40763, 18531, 4322, 3038, 6691, 4108, 10865, 3869, 23, 43, NA, 92187,  1*
102, 106.0, 21239, 11456, 5874, 1367, 1361, 3707, 898, 652, 30, 44, NA, 46554,  1*
103, 107.0, 744736, 78045, 68542, 6811, 10638, 39444, 15097, 6312, 43, 60, NA, 969625,  1*
104, 108.0, 107773, 27860, 6303, 3534, 7292, 5698, 6112, 1339, 41, 53, NA, 165911,  1*
105, 109.0, 50078, 25000, 1308, 5981, 5326, 3677, 5583, 1591, 37, 50, NA, 98544,  1*
106, 110.0, 11567, 20215, 4052, 8489, 5818, 4375, 3959, 1196, 34, 50, NA, 59671,  1*
107, 111.0, 29933, 9640, 1705, 7360, 1970, 3652, 2218, 858, 30, 50, NA, 57336,  1*
108, 112.0, 68654, 12392, 9847, 1430, 1267, 650, 651, 185, 16, 64, NA, 95076,  1*
109, 113.0, 1827787, 212898, 15166, 12903, 14822, 16269, 10856, 10725, 11, 57, NA, 2121426,  1*
110, 114.0, 343549, 44304, 31293, 8634, 5151, 5393, 1564, 2113, 4, 64, NA, 442001,  1*
111, 115.0, 186997, 69460, 27482, 6583, 6226, 5646, 1801, 1830, 1, 61, NA, 306025,  1*
112, 116.0, 172548, 309558, 15460, 111233, 19774, 22837, 15476, 5290, 1, 51, NA, 672176,  1*
113, 117.0, 78356, 308, 223, 1115, 903, 1007, 625, 165, 20, 70, NA, 82702,  1*
114, 118.0, 567212, 40819, 34115, 20390, 6763, 24459, 7988, 6676, 34, 74, NA, 708422,  1*
115, 119.0, 24678, 39393, 8692, 2429, 3517, 3688, 3638, 1018, 35, 64, NA, 87053,  1*
116, 120.0, 139933, 36989, 21949, 16328, 14957, 14309, 8951, 8310, 47, 67, NA, 261726,  1*
117, 121.0, 140029, 57951, 13312, 18838, 19386, 15225, 15190, 7722, 35, 63, NA, 287653,  1*
118, 122.0, 20841, 14095, 9875, 11307, 5225, 2420, 2857, 613, 23, 64, NA, 67233,  1*
119, 123.0, 1050126, 211138, 120058, 54748, 41352, 97556, 102401, 25210, 34, 75, NA, 1702589,  1*
120, 124.0, 579007, 74620, 7883, 5893, 7818, 21109, 29054, 17587, 37, 57, NA, 742971,  1*
121, 125.0, 2492925, 295669, 109747, 13377, 6258, 18078, 19104, 16240, 23, 60, NA, 2971398,  1*
122, 126.0, 81468, 12916, 3653, 3981, 1935, 2775, 3653, 1550, 27, 50, NA, 111931,  1*
123, 127.0, 734618, 54526, 12078, 17175, 7779, 8851, 20377, 7770, 21, 48, NA, 863174,  1*
124, 128.0, 279787, 17708, 6822, 5447, 3066, 3948, 3040, 1892, 14, 61, NA, 321710,  1*
125, 129.0, 1583428, 139086, 20362, 22004, 8771, 24513, 10553, 4714, 24, 56, NA, 1813431,  1*
126, 130.0, 172341, 77505, 5149, 1457, 2516, 5208, 2398, 1715, 17, 35, NA, 268289,  1*
127, 131.0, 1373399, 335575, 14455, 13778, 9010, 15803, 34159, 33422, 11, 14, NA, 1829601,  1*
128, 131.9, 54356, 2175, 6433, 1477, 3774, 2612, 972, 657, 16, 23, NA, 72456,  1*
129, 133.0, 30229, 4718, 3845, 1770, 1933, 3124, 3177, 1706, 24, 34, NA, 50502,  1*
130, 134.0, 1641584, 71995, 10334, 24172, 24393, 20486, 20256, 6989, 35, 50, NA, 1820209,  1*
131, 135.0, 17159, 8145, 7107, 4140, 5894, 7479, 2001, 1223, 54, 70, NA, 53148,  1*
132, 136.0, 6755, 10569, 505, 2910, 2573, 1954, 1602, 372, 50, 54, NA, 27240,  1*
133, 137.0, 166952, 46232, 16041, 3400, 5101, 2291, 1361, 846, 29, 50, NA, 242224,  1*
134, 138.0, 25036, 3441, 5876, 1703, 1650, 2817, 2263, 1042, 30, 63, NA, 43828,  1*
135, 139.0, 79908, 14181, 2360, 4437, 3949, 3720, 2809, 595, 24, 57, NA, 111959,  1*
136, 140.0, 64904, 79534, 1689, 13513, 7155, 3830, 5238, 1535, 13, 54, NA, 177398,  1*
137, 141.0, 9863, 8312, 11614, 5331, 3235, 4053, 3342, 1472, 27, 67, NA, 47222,  1*
138, 142.0, 928201, 94622, 31095, 23447, 8295, 25676, 47926, 8539, 23, 57, NA, 1167801,  1*
139, 143.0, 217311, 18799, 6318, 14670, 5495, 5938, 1810, 1097, 21, 67, NA, 271438,  1*
140, 144.0, 48189, 20614, 12602, 1698, 4704, 6150, 5285, 1984, 37, 78, NA, 101226,  1*
141, 145.0, 204541, 99685, 10015, 14673, 7975, 16924, 12231, 4256, 35, 57, NA, 370300,  1*
142, 146.0, 15509, 11375, 9066, 5808, 4597, 2272, 2627, 593, 27, 66, NA, 51847,  1*
143, 147.0, 164937, 30906, 14188, 101759, 14184, 15028, 15549, 8605, 24, 78, NA, 365156,  1*
144, 148.0, 44462, 35874, 2991, 2795, 5553, 2973, 3703, 2046, 16, 64, NA, 100397,  1*
145, 149.0, 434810, 72635, 6767, 14836, 4278, 7934, 7920, 6886, 11, 67, NA, 556066,  1*
146, 150.0, 857187, 51474, 29353, 28439, 31148, 27956, 15479, 1696, 21, 63, NA, 1042732,  1*
147, 151.0, 327620, 62955, 37504, 29671, 11890, 21886, 9691, 8503, 26, 51, NA, 509720,  1*
148, 152.0, 275366, 195742, 106204, 42272, 42740, 70597, 44965, 46312, 37, 67, NA, 824198,  1*
149, 153.0, 1369056, 534433, 307034, 66087, 75780, 52171, 63439, 41232, 34, 77, NA, 2509232,  1*
150, 154.0, 1668422, 105682, 35865, 93686, 45367, 77916, 58907, 36626, 35, 78, NA, 2122471,  1*
151, 155.0, 107822, 14588, 5966, 2597, 1877, 1618, 2386, 563, 26, 74, NA, 137417,  1*
152, 156.0, 281810, 404095, 157460, 34060, 27572, 43243, 32444, 21238, 16, 69, NA, 1001922,  1*
