time,MEDIA_ID,delta,FPOGX
436.9,,0.03815,0.58827
437.9,,0.01106,0.61193
439.0,,0.1854,0.79394
440.0,,0.01246,0.53445
441.0,,0.17732,0.83942
441.9,,0.00217,0.80077
443.0,,0.01419,0.49735
444.0,,0.00133,0.79287
444.9,,0.02563,0.85261
445.9,,0.24515,0.5354
447.0,,0.00043,0.84422
448.0,,0.18272,0.38598
448.9,,0.00297,0.39289
450.0,,0.12953,0.4901
450.9,,0.07956,0.37918
451.9,,0.02032,0.5003
452.9,,0.38443,0.39798
454.0,,0.14924,0.47416
454.9,,0.02017,0.45612
456.0,,0.01064,0.86624
457.0,,0.35145,0.80299
457.9,,0.04891,0.49333
458.9,,0.0889,0.50797
459.9,,0.02688,0.36718
460.9,,0.18362,0.39345
461.9,,0.00698,0.48327
462.9,,0.0164,0.21729
464.0,,0.04038,0.53929
464.9,,0.0252,0.38121
465.9,,0.01557,0.33133
466.9,,0.0021,0.53467
468.0,,0.11616,0.54712
468.9,,0.02681,0.49836
469.9,,0.16077,0.50928
470.9,,0.01133,0.5436
471.9,,0.01141,0.55374
472.9,,0.00307,0.50012
473.9,,0.00012,0.39632
475.0,,0.00218,0.49088
475.9,,0.00109,0.73185
476.9,,0.0006,0.3531
477.9,,0.00232,0.33869
479.0,,0.00066,0.38501
480.0,,0.00368,0.48784
480.9,,0.01912,0.43019
482.0,,0.03331,0.49285
482.9,,0.00166,0.0
483.9,,0.00128,0.50539
484.9,,0.21766,0.38132
485.9,,0.00355,0.3828
486.9,,0.03992,0.43611
487.9,,0.01797,0.75061
489.0,,0.0126,0.41947
489.9,,0.0003,0.56783
490.9,,0.03786,0.52782
491.9,,0.03336,0.74373
493.0,,0.00344,0.41781
493.9,,0.15314,0.48747
494.9,,0.10982,0.52398
496.0,,0.03258,0.30618
496.9,,0.00531,0.51999
497.9,,0.01486,0.35362
498.9,,0.00088,0.27742
500.0,,0.23424,0.3437
500.9,,0.37016,0.3379
501.9,,0.05865,0.65843
502.9,,0.62792,0.63591
503.9,,0.03579,0.51247
504.9,,0.14212,0.56851
505.9,,0.81266,0.59178
507.0,,0.10271,0.73381
507.9,,0.48669,0.66519
508.9,,0.0007,0.63947
509.9,,0.23886,0.66558
511.0,,0.02303,0.56118
512.0,,0.00113,0.50884
512.9,,0.00526,0.62338
513.9,,0.07161,0.31057
514.9,,0.002,0.31026
515.9,,0.27022,0.40614
516.9,,0.41164,0.64835
518.0,,0.01125,0.50369
518.9,,0.17222,0.31895
519.9,,0.00333,0.41597
521.0,,0.00038,0.35844
521.9,,0.00526,0.6409
522.9,,0.0877,0.59405
523.9,,0.0427,0.37416
525.0,,0.05718,0.66511
525.9,,0.01896,0.32217
526.9,,0.03889,0.6171
528.0,,0.12284,0.62732
529.0,,0.03717,0.40909
