time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,totalPower,attention,meditation,FPOGX
188.9,USER_9,NewMedia5,1712,3173,3204,2401,4230,25544, 66, 70,0.78054
189.9,USER_9,NewMedia12,17977,4330,4397,5214,2998,43782, 57, 75,0.41914
190.9,USER_9,NewMedia12,102063,3125,1931,1786,914,121709, 53, 69,0.4926
191.9,USER_9,NewMedia12,60354,3299,6465,14775,4132,197926, 53, 54,0.59389
192.9,USER_9,NewMedia12,30383,1611,3795,5392,4353,63919, 50, 47,0.29551
193.9,USER_9,NewMedia12,634108,45954,20235,27790,12454,776767, 47, 53,0.36626
194.9,USER_9,NewMedia12,6357,7535,215,1915,4709,29103, 64, 57,0.51724
195.9,USER_9,NewMedia12,2793,8349,4599,3299,3090,43626, 74, 78,0.64686
196.9,USER_9,NewMedia12,20582,2147,2061,4415,2206,52465, 67, 78,0.63782
197.9,USER_9,NewMedia12,1112647,21989,65615,31002,16062,1727173, 51, 60,0.8623
198.9,USER_9,NewMedia12,2646,3857,9056,2642,4575,33102, 48, 63,0.64277
199.9,USER_9,NewMedia12,8862,2965,3789,1000,1605,41681, 43, 57,0.38736
200.9,USER_9,NewMedia12,10733,4908,2808,5207,1863,57063, 35, 57,0.64914
201.9,USER_9,NewMedia12,167040,14445,9259,23062,17227,284643, 56, 63,0.65856
202.9,USER_9,NewMedia12,91045,8323,9773,4765,6287,132974, 56, 63,0.62797
203.9,USER_9,NewMedia12,81928,1596,3750,2592,2557,108343, 64, 64,0.63593
204.9,USER_9,NewMedia20,14178,6902,3801,3915,3925,40736, 81, 80,0.50838
205.9,USER_9,NewMedia20,813242,38426,5337,18872,11323,1093473, 66, 77,0.44426
206.9,USER_9,NewMedia20,50994,11292,6128,4808,5314,105950, 60, 69,0.66093
207.9,USER_9,NewMedia20,25030,3846,5302,5780,9614,81612, 66, 64,0.47919
208.9,USER_9,NewMedia20,303821,10695,9064,4304,2870,387754, 47, 53,0.68724
209.9,USER_9,NewMedia20,58770,20455,11088,5808,1691,166979, 38, 63,0.35635
210.9,USER_9,NewMedia20,218217,2821,3161,7422,4195,254286, 43, 54,0.71275
211.9,USER_9,NewMedia20,25486,12240,5747,8560,8675,90955, 40, 61,0.49756
212.9,USER_9,NewMedia20,176549,44474,17996,18512,8697,317829, 48, 74,0.36049
213.9,USER_9,NewMedia20,10153,1751,4936,4044,6164,36314, 81, 75,0.71287
214.9,USER_9,NewMedia20,79163,2636,4459,4619,2637,115959, 75, 77,0.49578
215.9,USER_9,NewMedia20,2898,10030,2657,2585,3461,28472, 75, 90,0.51257
216.9,USER_9,NewMedia20,69680,12269,1629,4870,3405,164043, 67, 70,0.52979
217.9,USER_9,NewMedia20,23091,6279,4146,1753,3176,51130, 54, 75,0.53319
218.9,USER_9,NewMedia20,20881,1115,5810,4648,1976,41587, 60, 83,0.64744
219.9,USER_9,NewMedia20,10982,1357,4224,1571,1354,31307, 51, 70,0.85935
220.9,USER_9,NewMedia20,56970,11224,1364,2327,4601,189513, 51, 66,0.90381
221.9,USER_9,NewMedia20,3798,3715,1838,1579,1550,18294, 51, 67,0.35562
222.9,USER_9,NewMedia20,7928,831,1001,737,2001,20321, 57, 60,0.38585
223.9,USER_9,NewMedia20,20228,367,1418,501,1448,32215, 66, 54,0.38506
224.9,USER_9,NewMedia20,5143,5924,2151,3368,1366,25523, 75, 77,0.26406
225.9,USER_9,NewMedia20,3957,1671,2453,1087,4234,20997, 84, 67,0.56015
226.9,USER_9,NewMedia20,97092,8417,4521,4008,2347,132608, 70, 78,0.18903
227.9,USER_9,NewMedia20,2801,1320,1705,1200,2575,13015, 81, 84,0.1169
228.9,USER_9,NewMedia20,1334,3375,3816,2527,1606,23595, 81, 81,0.12483
229.9,USER_9,NewMedia20,4813,15472,2436,7653,4500,39570, 75, 93,0.11087
230.9,USER_9,NewMedia20,187354,2778,991,3219,1881,222075, 70, 75,0.15149
231.9,USER_9,NewMedia20,83763,7274,4848,4640,13316,171278, 61, 63,0.48603
232.9,USER_9,NewMedia20,13493,2468,5350,986,2826,38813, 64, 61,0.487
233.9,USER_9,NewMedia20,3168,1811,4229,4726,4317,25093, 70, 51,0.379
234.9,USER_9,NewMedia20,5862,1177,1751,2574,2502,24650, 83, 57,0.64053
235.9,USER_9,NewMedia20,5059,13774,5254,1567,1939,32158, 77, 83,0.63939
236.9,USER_9,NewMedia20,67945,1712,6639,5322,3037,140251, 64, 66,0.8743
237.9,USER_9,NewMedia20,14600,2451,3097,1673,4336,50844, 56, 54,0.91279
238.9,USER_9,NewMedia20,11782,4577,2320,2365,2207,34725, 51, 60,0.46791
239.9,USER_9,NewMedia20,97784,1636,4123,1758,6672,143772, 57, 34,0.63945
240.9,USER_9,NewMedia20,7398,5804,1003,3482,2229,30665, 67, 44,0.50018
241.9,USER_9,NewMedia20,8471,3622,2106,2112,1803,31027, 64, 51,0.54299
242.9,USER_9,NewMedia20,7802,3969,1586,2084,4279,36467, 69, 47,0.52592
243.9,USER_9,NewMedia20,225507,4147,4273,3770,3444,259943, 67, 53,0.48814
244.9,USER_9,NewMedia20,19684,6555,795,5221,3069,51186, 67, 51,0.87783
245.9,USER_9,NewMedia20,581348,21278,21381,42447,12996,779863, 66, 48,0.13534
246.9,USER_9,NewMedia20,5329,10648,2183,3442,2702,35190, 60, 60,0.53144
247.9,USER_9,NewMedia20,9993,3170,4239,1580,1815,36028, 56, 63,0.37931
248.9,USER_9,NewMedia20,241705,7224,24951,25345,13511,470302, 53, 57,0.66515
249.9,USER_9,NewMedia20,50325,3533,23496,7352,8446,184046, 51, 57,0.15187
250.9,USER_9,NewMedia20,56282,10045,2300,2842,4169,95229, 51, 53,0.53224
251.9,USER_9,NewMedia20,125622,10613,27974,12310,6844,266186, 47, 50,0.15627
252.9,USER_9,NewMedia20,19295,911,1627,911,3372,42323, 54, 47,0.63083
253.9,USER_9,NewMedia20,6888,3204,2347,9584,5266,68964, 60, 37,0.87315
254.9,USER_9,NewMedia20,36668,8232,5347,4685,3234,75005, 56, 38,0.91886
255.9,USER_9,NewMedia20,20805,23780,3397,9677,3011,109203, 53, 41,0.47063
256.9,USER_9,NewMedia20,160363,1732,735,6330,2968,179226, 63, 44,0.06914
257.9,USER_9,NewMedia20,24582,1741,5850,11643,2089,80036, 54, 48,0.48231
258.9,USER_9,NewMedia20,362159,23101,24954,26287,27114,488679, 67, 50,0.56472
259.9,USER_9,NewMedia20,32118,9089,4340,1211,1849,65196, 74, 54,0.48892
260.9,USER_9,NewMedia20,1649301,12702,25326,20329,6700,1877793, 47, 54,0.51594
261.9,USER_9,NewMedia20,109766,3589,6156,1647,2017,149352, 47, 61,0.50256
262.9,USER_9,NewMedia20,108744,4002,7693,13752,2942,153384, 35, 54,0.48694
263.9,USER_9,NewMedia20,7763,10246,6742,2387,4602,42055, 44, 61,0.48027
264.9,USER_9,NewMedia20,964978,4917,21064,12373,18339,1048004, 67, 69,0.64878
265.9,USER_9,NewMedia20,17475,3145,1073,2954,4397,46144, 81, 66,0.66351
266.9,USER_9,NewMedia20,140402,11442,7182,3717,7536,217507, 81, 64,0.3973
267.9,USER_9,NewMedia20,122729,2620,1866,1671,2726,147228, 78, 48,0.15037
268.9,USER_9,NewMedia20,16169,1915,9966,4074,3886,52873, 67, 47,0.12741
269.9,USER_9,NewMedia20,23275,731,1724,3477,3825,40574, 78, 48,0.49188
270.9,USER_9,NewMedia20,3171,3002,3740,3279,4117,22526, 91, 54,0.47933
271.9,USER_9,NewMedia20,142293,783,3422,2220,3368,172618, 93, 51,0.49437
272.9,USER_9,NewMedia20,3585,5460,2832,2986,1795,29507, 88, 53,0.48935
273.9,USER_9,NewMedia20,5688,449,738,736,3435,21508, 84, 48,0.65072
274.9,USER_9,NewMedia20,12098,5506,5981,5162,4836,46492, 80, 48,0.42877
275.9,USER_9,NewMedia20,5646,4350,4153,3706,4938,42729, 81, 53,0.65207
276.9,USER_9,NewMedia20,298642,12930,83853,35418,12883,646148, 75, 50,0.64319
277.9,USER_9,NewMedia20,727862,10461,11666,22562,11567,815085, 69, 61,0.47627
278.9,USER_9,NewMedia20,3851,1199,1265,2483,3360,26379, 69, 47,0.13635
279.9,USER_9,NewMedia20,11419,8682,5953,4165,2378,44910, 64, 54,0.416
280.9,USER_9,NewMedia20,412105,4446,15576,10469,12794,506315, 80, 53,0.57334
281.9,USER_9,NewMedia20,12585,7310,4694,3269,6540,54419, 77, 54,0.47846
282.9,USER_9,NewMedia20,153156,12944,3693,2009,2801,219530, 57, 63,0.47717
283.9,USER_9,NewMedia20,7832,9423,3648,1877,4146,70644, 56, 53,0.59441
284.9,USER_9,NewMedia20,68210,8849,5714,2843,4950,144535, 47, 51,0.51147
285.9,USER_9,NewMedia20,11045,3781,5930,3044,3247,42210, 43, 51,0.79965
286.9,USER_9,NewMedia20,24081,11739,11121,3386,3042,93142, 43, 54,0.80095
287.9,USER_9,NewMedia20,30004,2849,3231,2401,2144,68964, 44, 54,0.35991
288.9,USER_9,NewMedia20,315373,6919,14774,4952,20870,404853, 63, 60,0.80407
289.9,USER_9,NewMedia20,3308,814,3019,1187,3826,23479, 70, 54,0.62276
290.9,USER_9,NewMedia20,332179,3930,6972,3255,2093,363333, 78, 56,0.65693
291.9,USER_9,NewMedia20,6543,4284,2721,1522,3116,31541, 87, 63,0.88907
292.9,USER_9,NewMedia20,605129,10980,38317,18484,10432,958071, 60, 53,0.14526
293.9,USER_9,NewMedia20,213673,15188,2095,6940,8324,298644, 54, 54,0.08213
294.9,USER_9,NewMedia20,136494,6841,1305,2763,6252,222862, 53, 40,0.87163
295.9,USER_9,NewMedia20,62302,5977,3676,2918,6880,116591, 50, 30,0.86464
296.9,USER_9,NewMedia20,121986,11955,8397,3124,4263,187413, 60, 41,0.14618
297.9,USER_9,NewMedia20,110446,7263,3661,3881,2462,136367, 57, 51,0.65387
298.9,USER_9,NewMedia20,8451,8388,4990,2889,3920,45506, 63, 67,0.66758
299.9,USER_9,NewMedia20,131481,11460,9016,2668,3242,190608, 54, 77,0.478
300.9,USER_9,NewMedia20,316274,4536,1121,691,1113,334403, 53, 78,0.1446
301.9,USER_9,NewMedia20,426250,5225,4305,2061,4405,533159, 43, 56,0.25419
302.9,USER_9,NewMedia20,24222,1510,2467,711,559,35270, 34, 54,0.60632
303.9,USER_9,NewMedia20,450529,19586,3249,6958,14401,533749, 50, 56,0.86357
304.9,USER_9,NewMedia20,745806,55280,38046,11894,12356,921536, 51, 63,0.68395
305.9,USER_9,NewMedia20,2584,1306,3243,1827,5730,21790, 78, 77,0.84499
306.9,USER_9,NewMedia20,51167,14786,12271,13178,22074,161202, 94, 70,0.85111
307.9,USER_9,NewMedia20,88014,1458,1717,560,861,107886, 75, 61,0.29935
308.9,USER_9,NewMedia20,25099,6281,1445,5480,4852,68030, 81, 47,0.37449
309.9,USER_9,NewMedia20,3245,478,4492,979,3404,19686, 74, 50,0.69045
310.9,USER_9,NewMedia20,2655,3844,928,2093,3324,24050, 74, 51,0.49911
