time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
1464.9,USER_14,NewMedia18,468942,124121,12807,28962,17246,12816,7207,519660,1191761,0.38863
1465.9,USER_14,NewMedia18,19206,22678,7174,10818,2694,2764,964,11761,78059,0.54025
1466.9,USER_14,NewMedia18,110354,2785,2438,3553,2478,3011,1586,2164,128369,0.40731
1467.9,USER_14,NewMedia18,73792,21937,13377,15439,8183,6758,2939,53561,195986,0.41532
1468.9,USER_14,NewMedia18,3814,10433,4108,3342,1997,1740,892,1799,28125,0.37733
1469.9,USER_14,NewMedia18,31259,3830,1413,2600,2226,647,424,7144,49543,0.58272
1470.9,USER_14,NewMedia18,10521,2842,6931,1089,3125,1144,438,6249,32339,0.6648
1471.9,USER_14,NewMedia18,5068,511,736,4543,2860,1270,581,7824,23393,0.51329
1472.9,USER_14,NewMedia18,19051,2928,890,2038,1619,616,285,7649,35076,0.54965
1473.9,USER_14,NewMedia18,3102,2840,2818,1117,4045,2545,1298,10810,28575,0.55697
1474.9,USER_14,NewMedia18,15221,8054,3702,3887,1737,2197,844,15006,50648,0.46551
1475.9,USER_14,NewMedia18,11864,2592,1981,3535,4306,2538,1227,24942,52985,0.51868
1476.9,USER_14,NewMedia18,203122,13213,17157,13320,6651,4921,1151,68186,327721,0.51127
1477.9,USER_14,NewMedia18,310629,13101,6864,23036,9246,7065,2587,234019,606547,0.48766
1478.9,USER_14,NewMedia18,40856,2340,6345,4670,3015,3455,2209,17530,80420,0.45104
1479.9,USER_14,NewMedia18,31974,4416,1862,4641,5448,2028,2409,10982,63760,0.5141
1480.9,USER_14,NewMedia18,389582,24942,86525,13462,21615,3582,7932,94968,642608,0.51831
1482.0,USER_14,NewMedia18,278934,3624,6403,5693,5702,1322,909,11692,314279,0.52429
1482.9,USER_14,NewMedia18,4239,3936,8189,2343,3311,2262,963,8888,34131,0.50915
1483.9,USER_14,NewMedia18,8828,2564,3757,1302,1421,1008,1181,9234,29295,0.52677
